time_SN_vis, pmt_vis,x_vis,y_vis,z_vis,event_vis
20938.6097029, 92.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.54574, 95.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.0801847, 95.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5560961, 98.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20940.2283465, 99.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6353395, 101.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
22604.8930494, 64.0, 357.297387791, -385.769271828, -199.093620383, 9.0
22604.6738732, 87.0, 357.297387791, -385.769271828, -199.093620383, 9.0
22604.8426451, 102.0, 357.297387791, -385.769271828, -199.093620383, 9.0
22604.846682, 107.0, 357.297387791, -385.769271828, -199.093620383, 9.0
22604.6808385, 114.0, 357.297387791, -385.769271828, -199.093620383, 9.0
27250.6772362, 8.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
27250.6200642, 9.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
27250.6405018, 9.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
27250.6435264, 10.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
27250.6286885, 11.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
27250.687167, 14.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
27250.6894503, 23.0, 281.197565986, -93.8589466373, 921.288899282, 10.0
